,Unnamed: 0,permutations,route,distances
813,813,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['NBRK', '37.873967', '-122.283440'], dtype=object))",DUBL -> NBRK,38.866
814,814,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['NCON', '38.003193', '-122.024653'], dtype=object))",DUBL -> NCON,35.329
815,815,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['OAKL', '37.713238', '-122.212191'], dtype=object))",DUBL -> OAKL,27.596999999999998
816,816,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['ORIN', '37.878361', '-122.183791'], dtype=object))",DUBL -> ORIN,31.838
817,817,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['PITT', '38.018914', '-121.945154'], dtype=object))",DUBL -> PITT,35.544000000000004
818,818,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['PCTR', '38.016941', '-121.889457'], dtype=object))",DUBL -> PCTR,35.104
819,819,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['PHIL', '37.928468', '-122.056012'], dtype=object))",DUBL -> PHIL,28.767
820,820,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['POWL', '37.784471', '-122.407974'], dtype=object))",DUBL -> POWL,45.726000000000006
821,821,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['RICH', '37.936853', '-122.353099'], dtype=object))",DUBL -> RICH,47.735
822,822,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['ROCK', '37.844702', '-122.251371'], dtype=object))",DUBL -> ROCK,34.84
823,823,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['SBRN', '37.637761', '-122.416287'], dtype=object))",DUBL -> SBRN,46.117
824,824,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['SFIA', '37.615966', '-122.392409'], dtype=object))",DUBL -> SFIA,44.501999999999995
825,825,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['SANL', '37.721947', '-122.160844'], dtype=object))",DUBL -> SANL,23.154
826,826,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['SHAY', '37.634375', '-122.057189'], dtype=object))",DUBL -> SHAY,15.812000000000001
827,827,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['SSAN', '37.664245', '-122.443960'], dtype=object))",DUBL -> SSAN,48.175
828,828,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['UCTY', '37.590630', '-122.017388'], dtype=object))",DUBL -> UCTY,16.168
829,829,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['WCRK', '37.905522', '-122.067527'], dtype=object))",DUBL -> WCRK,27.095
830,830,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['WARM', '37.502171', '-121.939313'], dtype=object))",DUBL -> WARM,22.49
831,831,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['WDUB', '37.699756', '-121.928240'], dtype=object))",DUBL -> WDUB,2.569
832,832,"(array(['DUBL', '37.701687', '-121.899179'], dtype=object), array(['WOAK', '37.804872', '-122.295140'], dtype=object))",DUBL -> WOAK,36.695
833,833,"(array(['DELN', '37.925086', '-122.316794'], dtype=object), array(['12TH', '37.803768', '-122.271450'], dtype=object))",DELN -> 12TH,14.081
834,834,"(array(['DELN', '37.925086', '-122.316794'], dtype=object), array(['16TH', '37.765062', '-122.419694'], dtype=object))",DELN -> 16TH,19.979
835,835,"(array(['DELN', '37.925086', '-122.316794'], dtype=object), array(['19TH', '37.808350', '-122.268602'], dtype=object))",DELN -> 19TH,13.668
836,836,"(array(['DELN', '37.925086', '-122.316794'], dtype=object), array(['24TH', '37.752470', '-122.418143'], dtype=object))",DELN -> 24TH,21.180999999999997
837,837,"(array(['DELN', '37.925086', '-122.316794'], dtype=object), array(['ANTC', '37.995388', '-121.780420'], dtype=object))",DELN -> ANTC,47.723
838,838,"(array(['DELN', '37.925086', '-122.316794'], dtype=object), array(['ASHB', '37.852803', '-122.270062'], dtype=object))",DELN -> ASHB,9.033
839,839,"(array(['DELN', '37.925086', '-122.316794'], dtype=object), array(['BALB', '37.721585', '-122.447506'], dtype=object))",DELN -> BALB,25.403000000000002
840,840,"(array(['DELN', '37.925086', '-122.316794'], dtype=object), array(['BAYF', '37.696924', '-122.126514'], dtype=object))",DELN -> BAYF,30.416
841,841,"(array(['DELN', '37.925086', '-122.316794'], dtype=object), array(['BERY', '37.368473', '-121.874681'], dtype=object))",DELN -> BERY,73.197
